typeProject;before;project;version;file;start;end;type;callLock;releaseLock;
;;Android-Universal-Image-Loader;1;/home/les-02/NovoTGLambda/projetos/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/core/assist/deque/LinkedBlockingDeque.java;687;706;ReentrantLock;true;true;
;;Android-Universal-Image-Loader;1;/home/les-02/NovoTGLambda/projetos/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/core/assist/deque/LinkedBlockingDeque.java;718;741;ReentrantLock;true;true;
;;Android-Universal-Image-Loader;1;/home/les-02/NovoTGLambda/projetos/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/core/assist/deque/LinkedBlockingDeque.java;780;793;ReentrantLock;true;true;
;;Android-Universal-Image-Loader;1;/home/les-02/NovoTGLambda/projetos/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/core/assist/deque/LinkedBlockingDeque.java;795;815;ReentrantLock;true;true;
;;Android-Universal-Image-Loader;1;/home/les-02/NovoTGLambda/projetos/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/core/assist/deque/LinkedBlockingDeque.java;858;883;ReentrantLock;true;true;
;;Android-Universal-Image-Loader;1;/home/les-02/NovoTGLambda/projetos/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/core/assist/deque/LinkedBlockingDeque.java;885;939;ReentrantLock;true;true;
;;Android-Universal-Image-Loader;1;/home/les-02/NovoTGLambda/projetos/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/core/assist/deque/LinkedBlockingDeque.java;941;962;ReentrantLock;true;true;
;;Android-Universal-Image-Loader;1;/home/les-02/NovoTGLambda/projetos/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/core/assist/deque/LinkedBlockingDeque.java;964;985;ReentrantLock;true;true;
;;Android-Universal-Image-Loader;1;/home/les-02/NovoTGLambda/projetos/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/core/assist/deque/LinkedBlockingDeque.java;1049;1059;ReentrantLock;true;true;
;;Android-Universal-Image-Loader;1;/home/les-02/NovoTGLambda/projetos/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/core/assist/deque/LinkedBlockingDeque.java;1081;1094;ReentrantLock;true;true;
;;Android-Universal-Image-Loader;1;/home/les-02/NovoTGLambda/projetos/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/core/assist/deque/LinkedBlockingDeque.java;1109;1122;ReentrantLock;true;true;
;;Android-Universal-Image-Loader;1;/home/les-02/NovoTGLambda/projetos/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/core/assist/deque/LinkedBlockingDeque.java;1151;1173;ReentrantLock;true;true;
;;Android-Universal-Image-Loader;1;/home/les-02/NovoTGLambda/projetos/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/core/ImageLoaderEngine.java;193;200;ReentrantLock;false;false;
;;Android-Universal-Image-Loader;1;/home/les-02/NovoTGLambda/projetos/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/core/LoadAndDisplayImageTask.java;118;177;ReentrantLock;true;true;
;;Android-Universal-Image-Loader;1;/home/les-02/NovoTGLambda/projetos/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/core/assist/deque/LinkedBlockingDeque.java;166;190;ReentrantLock;true;true;
;;Android-Universal-Image-Loader;1;/home/les-02/NovoTGLambda/projetos/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/core/assist/deque/LinkedBlockingDeque.java;319;332;ReentrantLock;true;true;
;;Android-Universal-Image-Loader;1;/home/les-02/NovoTGLambda/projetos/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/core/assist/deque/LinkedBlockingDeque.java;334;347;ReentrantLock;true;true;
